timestampThrottle,Steer,QuickTurn,Incrementer,Mag1,Mag2
97140.82999999999,-0.00,0.00,false,525,true,true
97161.083,-0.00,0.00,false,526,true,true
97180.975,-0.00,0.00,false,527,true,true
97201.286,-0.00,0.00,false,528,true,true
97221.41100000001,-0.00,0.00,false,529,true,true
97240.73300000001,-0.00,0.00,false,530,true,true
97261.428,-0.00,0.00,false,531,true,true
97280.664,-0.00,0.00,false,532,true,true
97301.158,-0.00,0.00,false,533,true,true
97320.685,-0.00,0.00,false,534,true,true
97341.011,-0.00,0.00,false,535,true,true
97361.648,-0.00,0.00,false,536,true,true
97381.054,-0.00,0.00,false,537,true,true
97400.746,-0.00,0.00,false,538,true,true
97421.522,-0.00,0.00,false,539,true,true
97441.239,-0.00,0.00,false,540,true,true
97460.442,-0.00,0.00,false,541,true,true
97481.133,-0.00,0.00,false,542,true,true
97500.514,-0.00,0.00,false,543,true,true
97521.409,-0.00,0.00,false,544,true,true
97541.337,-0.00,0.00,false,545,true,true
97560.647,-0.00,0.00,false,546,true,true
97581.622,-0.00,0.00,false,547,true,true
97601.61499999999,-0.00,0.00,false,548,true,true
97621.473,-0.00,0.00,false,549,true,true
97640.945,-0.00,0.00,false,550,true,true
97661.90299999999,-0.00,0.00,false,551,true,true
97680.966,-0.00,0.00,false,552,true,true
97701.925,-0.00,0.00,false,553,true,true
97721.356,-0.00,0.00,false,554,true,true
97741.293,-0.00,0.00,false,555,true,true
97761.427,-0.00,0.00,false,556,true,true
97780.829,-0.00,0.00,false,557,true,true
97801.565,-0.00,0.00,false,558,true,true
97821.566,-0.00,0.00,false,559,true,true
97841.18100000001,-0.00,0.00,false,560,true,true
97860.876,-0.00,0.00,false,561,true,true
97881.568,-0.00,0.00,false,562,true,true
97901.19,-0.00,0.00,false,563,false,true
97921.125,-0.00,0.00,false,564,false,true
97940.79000000001,-0.00,0.00,false,565,false,true
97960.93500000001,-0.00,0.00,false,566,false,true
97981.905,-0.00,0.00,false,567,false,true
98001.65699999999,-0.00,0.00,false,568,false,true
98021.457,-0.00,0.00,false,569,true,true
98040.943,-0.00,0.00,false,570,true,true
98061.477,-0.00,0.00,false,571,true,true
98080.748,-0.00,0.00,false,572,true,true
98101.614,-0.00,0.00,false,573,true,true
98121.402,-0.00,0.00,false,574,true,true
98141.002,-0.00,0.00,false,575,true,true
98161.943,-0.00,0.00,false,576,true,true
98181.959,-0.00,0.00,false,577,true,true
98202.05900000001,-0.00,0.00,false,578,true,true
98220.971,-0.00,0.00,false,579,true,true
98241.745,-0.00,0.00,false,580,true,true
98261.404,-0.00,0.00,false,581,true,true
98281.00600000001,-0.00,0.00,false,582,true,true
98301.132,-0.00,0.00,false,583,true,true
98321.16100000001,-0.00,0.00,false,584,true,true
98340.952,-0.00,0.00,false,585,true,true
98361.304,-0.00,0.00,false,586,true,true
98381.387,-0.00,0.00,false,587,true,true
98400.59599999999,-0.00,0.00,false,588,true,true
98420.889,-0.00,0.00,false,589,true,true
98441.016,-0.00,0.00,false,590,true,true
98461.828,-0.00,0.00,false,591,true,true
98481.492,-0.00,0.00,false,592,true,true
98501.368,-0.00,0.00,false,593,true,true
98521.17599999999,-0.00,0.00,false,594,true,true
98541.269,-0.00,0.00,false,595,true,true
98560.72600000001,-0.00,0.00,false,596,true,true
98581.311,-0.00,0.00,false,597,true,true
98600.486,-0.00,0.00,false,598,true,true
98621.60299999999,-0.00,0.00,false,599,true,true
98641.401,-0.00,0.00,false,600,true,true
98660.448,-0.00,0.00,false,601,true,true
98680.522,-0.00,0.00,false,602,true,true
98701.495,-0.00,0.00,false,603,true,true
98721.42,-0.00,0.00,false,604,true,true
98741.225,-0.00,0.00,false,605,true,true
98761.24799999999,-0.00,0.00,false,606,true,true
